iata,name,location,country
KAX,Kalbarri Airport,"Kalbarri, Western Australia",Australia
KNI,Katanning Airport,"Katanning, Western Australia",Australia
LBL,Liberal Municipal Airport,"Liberal, Kansas",United States
LPA,Gran Canaria International Airport,"Las Palmas, Canary Islands",Spain
MDG,Mudanjiang Airport,"Mudanjiang, Heilongjiang",China
MOF,Wai Oti Airport (Maumere Airport),Maumere,Indonesia
MZI,Mopti Airport,Mopti,Mali
OKB,Orchid Beach,"Fraser Island, Queensland",Australia
PKV,Pskov Airport,Pskov,Russia
QYD,Gdynia-Babie Do?y Airport,Gdynia,Poland
SDE,Vicecomodoro Ángel de la Paz Aragonés Airport,Santiago del Estero,Argentina
STJ,Rosecrans Memorial Airport,"St. Joseph, Missouri",United States
TNA,Jinan Yaoqiang International Airport,"Jinan, Shandong",China
VBS,Brescia Montichiari International Airport,Brescia,Italy
XBL,Bedele Airport,Bedele,Ethiopia
YIV,Island Lake Airport,"Island Lake, Manitoba",Canada
YXX,Abbotsford International Airport,"Abbotsford, British Columbia",Canada
ZEP,Victoria Station,London,United Kingdom
ALF,Alta Airport,Alta,Norway
AXK,Ataq Airport,Ataq,Yemen
BIS,Bismarck Municipal Airport,"Bismarck, North Dakota",United States
BTX,Betoota Airport,"Betoota, Queensland",Australia
CFH,Clifton Hills Airport,"Clifton Hills, South Australia",Australia
CRR,Ceres Airport,"Ceres, Santa Fe",Argentina
DIO,Diomede Heliport,"Diomede, Alaska",United States
EIH,Einasleigh Airport,"Einasleigh, Queensland",Australia
FIV,Five Finger Coast Guard Heliport,"Five Finger, Alaska",United States
GIG,Galeão International Airport,Rio de Janeiro,Brazil
HBG,Bobby L. Chain Municipal Airport,"Hattiesburg, Mississippi",United States
HWD,Hayward Executive Airport,"Hayward, California",United States
IXC,Chandigarh Airport,Chandigarh,India
KAY,Wakaya Island Airport,Wakaya Island,Fiji
KNJ,Kindamba Airport,Kindamba,Republic of the Congo
LBM,Luabo Airport,Luabo,Mozambique
LPB,El Alto International Airport,La Paz,Bolivia
MDH,Southern Illinois Airport,"Carbondale / Murphysboro, Illinois",United States
MOG,Mong Hsat Airport,Mong Hsat,Myanmar (Burma)
MZJ,Pinal Airpark,"Marana, Arizona",United States
OKC,Will Rogers World Airport,"Oklahoma City, Oklahoma",United States
PKW,Selebi Phikwe Airport,Selebi Phikwe,Botswana
QYR,Barberey Airport,Troyes,France
SDF,Louisville International Airport (Standiford Field),"Louisville, Kentucky",United States
STK,Sterling Municipal Airport,"Sterling, Colorado",United States
TNC,Tin City LRRS Airport,"Tin City, Alaska",United States
VBY,Visby Airport,Visby,Sweden
XBN,Biniguni Airport,Biniguni,Papua New Guinea
YIW,Yiwu Airport,"Yiwu, Zhejiang",China
YXY,Erik Nielsen Whitehorse International Airport,"Whitehorse, Yukon",Canada
ZEU,Göttingen Railway Station,Göttingen,Germany
ALG,Houari Boumediene Airport,Algiers,Algeria
AXL,Alexandria Airport,"Alexandria, Northern Territory",Australia
BIT,Baitadi Airport,Baitadi,Nepal
BTY,Beatty Airport,"Beatty, Nevada",United States
CFI,Camfield Airport,"Camfield, Northern Territory",Australia
CRS,Corsicana Municipal Airport (C. David Campbell Field),"Corsicana, Texas",United States
DIP,Diapaga Airport,Diapaga,Burkina Faso
EIL,Eielson Air Force Base,"Fairbanks, Alaska",United States
FIZ,Fitzroy Crossing Airport,"Fitzroy Crossing, Western Australia",Australia
GII,Siguiri Airport,Siguiri,Guinea
HBH,Entrance Island Seaplane Base (Hobart Bay),"Entrance Island, Alaska",United States
HWI,Hawk Inlet Seaplane Base,"Hawk Inlet, Alaska",United States
IXD,Allahabad Airport / Bamrauli Air Force Base,Allahabad,India
KAZ,Kao Airport,"Kao, Halmahera, North Maluku",Indonesia
KNK,Kokhanok Airport,"Kokhanok, Alaska",United States
LBN,Lake Baringo Airport,Lake Baringo,Kenya
LPC,Lompoc Airport,"Lompoc, California",United States
MDI,Makurdi Airport,"Makurdi, Benue State",Nigeria
MOH,Mohanbari Airport,Mohanbari,India
MZK,Marakei Airport,Marakei,Kiribati
OKH,RAF Cottesmore,"Oakham, England",United Kingdom
PKZ,Pakse International Airport,Pakse,Laos
QZN,Relizane Airport,Relizane,Algeria
SDJ,Sendai Airport,Natori,Japan
STL,Lambert–St. Louis International Airport,"St. Louis, Missouri",United States
TNF,Toussus-le-Noble Airport,Toussus-le-Noble,France
VCA,Tra Noc International Airport,Can Tho,Vietnam
XBO,Boulsa Airport,Boulsa,Burkina Faso
YJA,Jasper Airport,"Jasper, Alberta",Canada
YXZ,Wawa Airport,"Wawa, Ontario",Canada
ZFJ,Gare de Rennes,,France
ALH,Albany Airport,"Albany, Western Australia",Australia
AXM,El Edén International Airport,Armenia,Colombia
BIU,Bíldudalur Airport,Bíldudalur,Iceland
BTZ,Bursa Airport,Bursa,Turkey
CFK,Chlef International Airport,Chlef,Algeria
CRT,Z. M. Jack Stell Field,"Crossett, Arkansas",United States
DIQ,Divinópolis Airport,"Divinópolis, Minas Gerais",Brazil
EIN,Eindhoven Airport,Eindhoven,Netherlands
FJR,Fujairah International Airport (cargo only),Fujairah,United Arab Emirates
GIL,Gilgit Airport,Gilgit,Pakistan
HBI,Harbour Island Airport,Harbour Island,Bahamas
HWK,Wilpena Pound,"Hawker, South Australia",Australia
IXE,Mangalore International Airport,Mangalore,India
KBA,Kabala Airport,Kabala,Sierra Leone
KNL,Kelanoa Airport,Kelanoa,Papua New Guinea
LBO,Lusambo Airport,Lusambo,Democratic Republic of the Congo
LPD,La Pedrera Airport,La Pedrera,Colombia
MDJ,Madras Municipal Airport,"Madras, Oregon",United States
MOI,Mitiaro Island Airport,Mitiaro Island,Cook Islands
MZL,La Nubia Airport (Santaguida Airport),Manizales,Colombia
OKJ,Okayama Airport,Okayama,Japan
PLB,Clinton County Airport,"Plattsburgh, New York",United States
QZO,Molin Bianco Airport,Arezzo,Italy
SDK,Sandakan Airport,Sandakan,Malaysia
STM,Santarém-Maestro Wilson Fonseca Airport,"Santarém, Pará",Brazil
TNG,Ibn Batouta International Airport,Tangier,Morocco
VCB,Nut Tree Airport,"Vacaville, California",United States
XBR,Brockville Regional Tackaberry Airport,"Brockville, Ontario",Canada
YJF,Fort Liard Airport,"Fort Liard, Northwest Territories",Canada
YYA,Big Bay Yacht Club Airport,"Big Bay, British Columbia",Canada
ZFQ,Gare de Bordeaux Saint-Jean,Bordeaux,France
ALI,Alice International Airport,"Alice, Texas",United States
AXN,Chandler Field,"Alexandria, Minnesota",United States
BIV,Bria Airport,Bria,Central African Republic
BUA,Buka Island Airport,Buka Island,Papua New Guinea
CFN,Donegal Airport,Carrickfinn,Ireland
CRU,Carriacou island airport,Carriacou Island,Grenada
DIR,Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,Ethiopia
EIS,Terrance B. Lettsome International Airport,Beef Island,British Virgin Islands
FKB,Baden Airpark (Karlsruhe/Baden-Baden Airport),"Karlsruhe/Baden-Baden, Baden-Württemberg",Germany
GIM,Miele Mimbale Airport,Miele Mimbale,Gabon
HBN,Phu Bon Airport,Phu Bon,Vietnam
HWN,Hwange National Park Airport,Hwange National Park,Zimbabwe
IXG,Belgaum Airport,Belgaum,India
KBC,Birch Creek Airport,"Birch Creek, Alaska",United States
KNM,Kaniama Airport,Kaniama,Democratic Republic of the Congo
LBP,Long Banga Airport,"Long Banga, Sarawak",Malaysia
LPE,La Primavera Airport,"La Primavera, Vichada",Colombia
MDK,Mbandaka Airport,Mbandaka,Democratic Republic of the Congo
MOJ,Moengo Airport,Moengo,Suriname
MZM,Frescaty Airport,Metz,France
OKK,Kokomo Municipal Airport,"Kokomo, Indiana",United States
PLE,Paiela Airport,Paiela,Papua New Guinea
RAB,Tokua Airport,Rabaul,Papua New Guinea
SDL,Sundsvall-Härnösand Airport (Midlanda Airport),Sundsvall,Sweden
STN,London Stansted Airport,"Essex, England",United Kingdom
TNH,Tonghua Sanyuanpu Airport,"Tonghua, Jilin",China
VCC,Limbe Airport,Limbe,Cameroon
XCH,Christmas Island Airport,Christmas Island,Australia
YJN,Saint-Jean Airport,"Saint-Jean-sur-Richelieu, Quebec",Canada
YYB,North Bay/Jack Garland Airport,"North Bay, Ontario",Canada
ZFV,30th Street Station,"Philadelphia, Pennsylvania",United States
ALJ,Kortdoorn Airport,Alexander Bay,South Africa
AXP,Spring Point Airport,"Spring Point, Acklins Island",Bahamas
BIW,Billiluna Airport,"Billiluna, Western Australia",Australia
BUB,Cram Field,"Burwell, Nebraska",United States
CFO,Confreza Airport,"Confreza, Mato Grosso",Brazil
CRV,Crotone Airport,Crotone,Italy
DIS,Dolisie Airport,Dolisie,Republic of Congo
EIY,Ein Yahav Airfield,Ein Yahav,Israel
FKI,Bangoka International Airport,Kisangani,Democratic Republic of the Congo
GIR,Santiago Vila Airport,Girardot,Colombia
HBR,Hobart Municipal Airport,"Hobart, Oklahoma",United States
HWO,North Perry Airport,"Hollywood, Florida",United States
IXH,Kailashahar Airport,Kailashahar,India
KBD,Kimberley Downs Airport,"Kimberley Downs, Western Australia",Australia
KNN,Kankan Airport (Diankana Airport),Kankan,Guinea
LBQ,Lambaréné Airport,Lambaréné,Gabon
LPG,La Plata International Airport,"La Plata, Buenos Aires",Argentina
MDL,Mandalay International Airport,Mandalay,Myanmar (Burma)
MOK,Mankono Airport,Mankono,Côte d'Ivoire
MZN,Minj Airport,Minj,Papua New Guinea
OKM,Okmulgee Regional Airport,"Okmulgee, Oklahoma",United States
PLH,Plymouth City Airport,Plymouth,United Kingdom
RAC,John H.Batten Airport,"Racine, Wisconsin",United States
SDM,Brown Field Municipal Airport,"San Diego, California",United States
STO,All Airports,Stockholm,Sweden
TNI,Satna Airport,Satna,India
VCE,Venice Marco Polo Airport,Venice,Italy
XCL,Cluff Lake Airport,"Cluff Lake, Saskatchewan",Canada
YJP,Hinton/Jasper-Hinton Airport,"Hinton, Alberta",Canada
YYC,Calgary International Airport,"Calgary, Alberta",Canada
ZGG,Glasgow Central Station,,Scotland
ALK,Asella Airport,Asella,Ethiopia
AXR,Arutua Airport,"Arutua, Tuamotus",French Polynesia
BIX,Keesler Air Force Base,"Biloxi, Mississippi",United States
BUC,Burketown Airport,"Burketown, Queensland",Australia
CFP,Carpentaria Downs Airport,"Carpentaria Downs, Queensland",Australia
CRW,Yeager Airport,"Charleston, West Virginia",United States
DIU,Diu Airport,Diu,India
EJA,Yarigüies Airport,Barrancabermeja,Colombia
FKJ,Fukui Airport,"Fukui, Honshu",Japan
GIS,Gisborne Airport,Gisborne,New Zealand
HBT,Hambantota Sea Plane Base,Hambantota,Sri Lanka
HXX,Hay Airport,"Hay, New South Wales",Australia
IXI,Lilabari Airport (North Lakhimpur Airport),Assam,India
KBE,Bell Island Hot Springs Seaplane Base,"Bell Island, Alaska",United States
KNO,Kuala Namu International Airport,Medan,Indonesia
LBR,Lábrea Airport,"Lábrea, Amazonas",Brazil
LPH,Lochgilphead Heliport,"Lochgilphead, Scotland",United Kingdom
MDM,Munduku Airport,Munduku,Papua New Guinea
MOL,"Molde Airport, Årø",Molde,Norway
MZO,Sierra Maestra Airport,Manzanillo,Cuba
OKS,Garden County Airport,"Oshkosh, Nebraska",United States
PLJ,Placencia Airport,Placencia,Belize
RAF,Ras an-Naqb Airport,Ras an-Naqb,Egypt
SDN,"Sandane Airport, Anda","Gloppen, Sogn og Fjordane",Norway
STP,St. Paul Downtown Airport (Holman Field),"St. Paul, Minnesota",United States
TNJ,Raja Haji Fisabilillah International Airport,"Tanjung Pinang, Riau Islands",Indonesia
VCH,Vichadero Airport,"Vichadero, Rivera",Uruguay
XCM,Chatham-Kent Airport,"Chatham-Kent, Ontario",Canada
YJT,Stephenville Airport,"Stephenville, Newfoundland and Labrador",Canada
YYD,Smithers Airport,"Smithers, British Columbia",Canada
ZGH,Copenhagen Central Station,,Denmark
ALL,Villanova d'Albenga International Airport,Albenga,Italy
AXS,Altus/Quartz Mountain Regional Airport,"Altus, Oklahoma",United States
BIY,Bisho Airport,Bisho,South Africa
BUD,Budapest Ferenc Liszt International Airport,Budapest,Hungary
CFR,Caen – Carpiquet Airport,Caen,France
CRX,Roscoe Turner Airport,"Corinth, Mississippi",United States
DIV,Divo Airport,Divo,Côte d'Ivoire (Ivory Coast)
EJH,Wejh Airport,Wejh,Saudi Arabia
FKL,Venango Regional Airport (Chess Lamberton Field),"Franklin, Pennsylvania",United States
GIT,Geita Airport,Geita,Tanzania
HBX,Hubli Airport,Hubli,India
HYA,Barnstable Municipal Airport (Boardman/Polando Field),"Hyannis, Massachusetts",United States
IXJ,Jammu Airport (Satwari Airport),Jammu,India
KBF,Karubaga Airport,Karubaga,Indonesia
KNP,Capanda Airport,Capanda,Angola
LBS,Labasa Airport,Labasa,Fiji
LPI,SAAB Airport,Linköping,Sweden
MDN,Madison Municipal Airport,"Madison, Indiana",United States
MOM,Letfotar Airport,Moudjeria,Mauritania
MZP,Motueka Aerodrome,Motueka,New Zealand
OKT,Oktyabrsky Airport,"Oktyabrsky, Bashkortostan",Russia
PLK,M.Graham Clark Downtown Airport,"POINT Lookout, Missouri",United States
RAI,Praia International Airport,Praia,Cape Verde
SDP,Sand POINT Airport,"Sand POINT, Alaska",United States
STQ,St. Marys Municipal Airport,"St. Marys, Pennsylvania",United States
TNK,Tununak Airport,"Tununak, Alaska",United States
VCL,Chu Lai Airport,"Chu Lai, Quang Nam",Vietnam
XCN,Pacific Air-VAL Coron Airport,"Coron, Palawan",Philippines
YKA,Kamloops Airport,"Kamloops, British Columbia",Canada
YYE,Fort Nelson Airport,"Fort Nelson, British Columbia",Canada
ZIV,Inverness Railway Station,Inverness,Scotland
ALM,Alamogordo-White Sands Regional Airport,"Alamogordo, New Mexico",United States
AXT,Akita Airport,Akita,Japan
BIZ,Bimin Airport,Bimin,Papua New Guinea
BUE,All Airports,Buenos Aires,Argentina
CFS,Coffs Harbour Airport,"Coffs Harbour, New South Wales",Australia
CRY,Carlton Hill Airport,"Carlton Hill, Western Australia",Australia
DIY,Diyarbak?r Airport,Diyarbak?r,Turkey
EJN,Ejin Banner Taolai Airport,"Ejin Banner, Inner Mongolia",China
FKN,Franklin Municipal Airport (John Beverly Rose Field),"Franklin, Virginia",United States
GIY,Giyani Airport,Giyani,South Africa
HCA,Howard County Airport,"Big Spring, Texas",United States
HYC,RAF High Wycombe,"High Wycombe, Buckinghamshire, England",United Kingdom
IXK,Junagadh Airport (Keshod Airport),Keshod,India
KBG,Kabalega Falls Airport,Kabalega Falls,Uganda
KNQ,Koné Airport,Koné,New Caledonia
LBT,Lumberton Municipal Airport,"Lumberton, North Carolina",United States
LPJ,Armando Schwarck Airport,Pijiguaos,Venezuela
MDO,Middleton Island Airport,"Middleton Island, Alaska",United States
MON,Mount Cook Aerodrome,Mount Cook,New Zealand
MZR,Mazari Sharif Airport,Mazari Sharif,Afghanistan
OLB,Olbia – Costa Smeralda Airport,Olbia,Italy
PLL,Ponta Pelada Airport,"Manaus, Amazonas",Brazil
RAJ,Rajkot Airport,Rajkot,India
SDQ,Las Américas International Airport,Punta Caucedo,Dominican Republic
STR,Stuttgart Airport,Stuttgart,Germany
TNL,Ternopil Airport,Ternopil,Ukraine
VCP,Viracopos International Airport,"Campinas, São Paulo State",Brazil
XCO,Colac Airport,"Colac, Victoria",Australia
YKC,Collins Bay Airport,"Collins Bay, Saskatchewan",Canada
YYF,Penticton Airport,"Penticton, British Columbia",Canada
ZKD,Leningradsky Rail Terminal,Moscow,Russia
ALN,St. Louis Regional Airport,"Alton, Illinois",United States
AXU,Axum Airport,Axum,Ethiopia
BJA,Soummam Airport,Bejaia,Algeria
BUF,Buffalo Niagara International Airport,"Buffalo, New York",United States
CFT,Greenlee County Airport,"Clifton/Morenci, Arizona",United States
CRZ,Turkmenabat Airport,Türkmenabat,Turkmenistan
DJA,Djougou Airport,Djougou,Benin
EJT,Enejit Airport,Enejit,Marshall Islands
FKQ,Fak Fak Airport,"Fak Fak, Irian Jaya",Indonesia
GIZ,Prince Abdullah Bin Abdulaziz Airport (Gizan Airport),Jazan,Saudi Arabia
HCC,Columbia County Airport,"Hudson, New York",United States
HYD,Rajiv Gandhi International Airport (succeeded Begumpet Airport),Hyderabad,India
IXL,Leh Kushok Bakula Rimpochee Airport,Leh,India
KBH,Kalat Airport,Kalat,Pakistan
KNR,Jam Airport,Kangan,Iran
LBU,Labuan Airport,"Labuan, Sabah",Malaysia
LPK,Lipetsk Airport,Lipetsk,Russia
MDP,Mindiptana Airport,Mindiptana,Indonesia
MOO,Moomba Airport,"Moomba, South Australia",Australia
MZS,Mostyn Airport,Mostyn,Malaysia
OLD,Old Town Municipal Airport and Seaplane Base (DeWitt Field),"Old Town, Maine",United States
PLM,Sultan Mahmud Badaruddin II Airport,"Palembang, Sumatra",Indonesia
RAK,Menara International Airport,Marrakech,Morocco
SDR,Santander - Parayas Airport,"Santander, Cantabria",Spain
STS,Charles M. Schulz Sonoma County Airport,"Santa Rosa, California",United States
TNM,Teniente R. Marsh Airport,Villa Las Estrellas,Antarctica
VCS,Co Ong Airport,"Con Son, Con Dao, Ba Ria - Vung Tau",Vietnam
XCR,Vatry International Airport,Vatry,France
YKD,Kincardine Airport,"Kincardine, Ontario",Canada
YYG,Charlottetown Airport,"Charlottetown, Prince Edward Island",Canada
ZLN,Le Mans Railway Station,,France
ALO,Waterloo Regional Airport,"Waterloo, Iowa",United States
AXV,Neil Armstrong Airport,"Wapakoneta, Ohio",United States
BJB,Bojnord Airport,Bojnord,Iran
BUG,Benguela Airport (Gen. V. Deslandes Airport),Benguela,Angola
CFU,Ioannis Kapodistrias International Airport (Corfu International Airport),Corfu,Greece
CSA,Colonsay Airport,"Colonsay, Inner Hebrides, Scotland",United Kingdom
DJB,Sultan Thaha Airport (Sultan Taha Syarifudn Airport),Jambi,Indonesia
EKA,Murray Field,"Eureka, California",United States
FKS,Fukushima Airport,"Sugawa, Fukushima",Japan
GJA,Guanaja Airport,"Guanaja, Bay Islands",Honduras
HCJ,Hechi Airport,"Hechi, Guangxi",China
HYF,Hayfields Airport,Hayfields,Papua New Guinea
IXM,Madurai Airport,Madurai,India
KBI,Kribi Airport,Kribi,Cameroon
KNS,King Island Airport,"Currie, Tasmania",Australia
LBV,Libreville International Airport,Libreville,Gabon
LPL,Liverpool John Lennon Airport,"Liverpool, England",United Kingdom
MDQ,Astor Piazzolla International Airport,"Mar del Plata, Buenos Aires Province",Argentina
MOP,Mount Pleasant Municipal Airport,"Mount Pleasant, Michigan",United States
MZT,GENERAL Rafael Buelna International Airport,"Mazatlán, Sinaloa",Mexico
OLE,Cattaraugus County-Olean Airport,"Olean, New York",United States
PLN,Pellston Regional Airport,"Pellston, Michigan",United States
RAL,Riverside Municipal Airport,"Riverside, California",United States
SDU,Santos Dumont Airport,Rio de Janeiro,Brazil
STT,Cyril E. King Airport,"Charlotte Amalie, Saint Thomas",United States Virgin Islands
TNN,Tainan Airport,"Tainan City, Taiwan",China
VCT,Victoria Regional Airport,"Victoria, Texas",United States
XCY,Château-Thierry Belleau Airport,Château-Thierry,France
YKE,Knee Lake Airport,"Knee Lake, Manitoba",Canada
YYH,Taloyoak Airport,"Taloyoak, Nunavut",Canada
ZLS,Liverpool Street Station,London,United Kingdom
ALP,Aleppo International Airport (Nejrab Airport),Aleppo,Syria
AXX,Angel Fire Airport,"Angel Fire, New Mexico",United States
BJC,Rocky Mountain Metropolitan Airport,"Denver, Colorado",United States
BUH,All Airports,Bucharest,Romania
CFV,Coffeyville Municipal Airport,"Coffeyville, Kansas",United States
CSB,Caransebe? Airport,Caransebe?,Romania
DJE,Zarzis Airport,Djerba,Tunisia
EKB,Ekibastuz Airport,Ekibastuz,Kazakhstan
FLA,Gustavo Artunduaga Paredes Airport,"Florencia, Caquetá",Colombia
GJL,Jijel Ferhat Abbas Airport,Jijel,Algeria
HCM,Eil Airport,Eil,Somalia
HYG,Hydaburg Seaplane Base,"Hydaburg, Alaska",United States
IXN,Khowai Airport,Khowai,India
KBJ,Kings Canyon Airport,"Kings Canyon, Northern Territory",Australia
KNT,Kennett Memorial Airport,"Kennett, Missouri",United States
LBW,Juvai Semaring Airport (Long Bawan Airport),"Long Bawan, East Kalimantan",Indonesia
LPM,Malekoula Island Airport (Lamap Airport),"Lamap, Malampa",Vanuatu
MDS,Middle Caicos Airport,Middle Caicos,Turks and Caicos Islands
MOR,Moore-Murrell Airport,"Morristown, Tennessee",United States
MZU,Muzzafarpur Airport,Muzzafarpur,India
OLF,L.M.Clayton Airport,"Wolf POINT, Montana",United States
PLQ,Palanga International Airport,Palanga,Lithuania
RAO,Leite Lopes Airport,"Ribeirão Preto, São Paulo",Brazil
SDV,Sde Dov Airport,Tel Aviv,Israel
STU,Santa Cruz Airport,Santa Cruz,Belize
TNO,Tamarindo Airport,Tamarindo,Costa Rica
VCV,Southern California Logistics Airport,"Victorville, California",United States
XDA,Dax - Seyresse Airport,Dax,France
YKF,Region of Waterloo International Airport,"Waterloo Regional Municipality, Ontario",Canada
YYI,Rivers Airport,"Rivers, Manitoba",Canada
ZLY,Albany–Rensselaer (Amtrak Station),"Rensselaer, New York",United States
ALQ,Alegrete Airport,"Alegrete, Rio Grande do Sul",Brazil
AYA,Ayapel Airport,Ayapel,Colombia
BJD,Bakkafjörður Airport,Bakkafjörður,Iceland
BUI,Bokondini Airport,Bokondini,Indonesia
CGA,Craig Seaplane Base,"Craig, Alaska",United States
CSC,Canas Airport,Canas,Costa Rica
DJG,Tiska Airport,Djanet,Algeria
EKD,Elkedra Airport,"Elkedra, Northern Territory",Australia
FLB,Cangapara Airport,"Floriano, Piauí",Brazil
GJM,Guajara-Mirim Airport,"Guajara-Mirim, Rondônia",Brazil
HCN,Hengchun Airport,Hengchun,Taiwan
HYL,Hollis Seaplane Base,"Hollis, Alaska",United States
IXP,Pathankot Airport,Pathankot,India
KBL,Kabul International Airport,Kabul,Afghanistan
KNU,Kanpur Airport,"Kanpur, Uttar Pradesh",India
LBX,Lubang Airport,"Lubang, Occidental Mindoro",Philippines
LPO,La Porte Municipal Airport,"La Porte, Indiana",United States
MDT,Harrisburg International Airport,"Harrisburg, Pennsylvania",United States
MOT,Minot International Airport,"Minot, North Dakota",United States
MZV,Mulu Airport,"Mulu, Sarawak",Malaysia
OLH,Old Harbor Airport,"Old Harbor, Alaska",United States
PLR,St.Clair County Airport,"Pell City, Alabama",United States
RAP,Rapid City Regional Airport,"Rapid City, South Dakota",United States
SDX,Sedona Airport,"Sedona, Arizona",United States
STV,Surat Airport,"Surat, Gujarat",India
TNP,Twentynine Palms Airport,"Twentynine Palms, California",United States
VDA,Ovda International Airport,Ovda,Israel
XDE,Diebougou Airport,Diebougou,Burkina Faso
YKG,Kangirsuk Airport,"Kangirsuk, Quebec",Canada
YYJ,Victoria International Airport,"Victoria, British Columbia",Canada
ZMB,Hamburg Hauptbahnhof,Hamburg,Germany
ALR,Alexandra Airport,Alexandra,New Zealand
AYC,Ayacucho Airport,Ayacucho,Peru
BJF,Båtsfjord Airport,"Båtsfjord, Finnmark",Norway
BUJ,Bou Saada Airport,"Bou Saada, M'Sila",Algeria
CGB,Marechal Rondon Airport,"Cuiabá, Mato Grosso",Brazil
CSD,Cresswell Downs Airport,"Cresswell Downs, Northern Territory",Australia
DJJ,Sentani Airport,Jayapura,Indonesia
EKE,Ekereku Airport,Ekereku,Guyana
FLC,Falls Creek Airport,"Falls Creek, Victoria",Australia
GJR,Gjögur Airport,Gjögur,Iceland
HCW,Cheraw Municipal Airport / Lynch Bellinger Field,"Cheraw, South Carolina",United States
HYN,Taizhou Luqiao Airport,"Taizhou, Zhejiang",China
IXQ,Kamalpur Airport,Kamalpur,India
KBM,Kabwum Airport,Kabwum,Papua New Guinea
KNW,New Stuyahok Airport,"New Stuyahok, Alaska",United States
LBY,La Baule-Escoublac Airport (Montoir Airport),La Baule-Escoublac,France
LPP,Lappeenranta Airport,Lappeenranta,Finland
MDU,Mendi Airport,Mendi,Papua New Guinea
MOU,Mountain Village Airport,"Mountain Village, Alaska",United States
MZW,Mecheria Airport,Mecheria,Algeria
OLK,Fuerte Olimpo Airport,Fuerte Olimpo,Paraguay
PLS,Providenciales International Airport,Providenciales,Turks and Caicos Islands
RAR,Rarotonga International Airport,Avarua,Cook Islands
SDY,Sidney-Richland Municipal Airport,"Sidney, Montana",United States
STW,Stavropol Shpakovskoye Airport,Stavropol,Russia
TNQ,Teraina Airport,Teraina,Kiribati
VDB,"Fagernes Airport, Leirin",Fagernes,Norway
XDJ,Djibo Airport,Djibo,Burkina Faso
YKK,Kitkatla Water Aerodrome,"Kitkatla, British Columbia",Canada
YYL,Lynn Lake Airport,"Lynn Lake, Manitoba",Canada
ZMI,Mergellina Railway Station,Naples,Italy
ALS,San Luis Valley Regional Airport,"Alamosa, Colorado",United States
AYD,Alroy Downs Airport,"Alroy Downs, Northern Territory",Australia
BJG,Bolaang Airport,Bolaang,Indonesia
BUK,Albuq Airport,Albuq,Yemen
CGC,Cape Gloucester Airport,Cape Gloucester,Papua New Guinea
CSE,Buckhorn Ranch Airport,"Crested Butte, Colorado",United States
DJM,Djambala Airport,Djambala,Republic of Congo
EKI,Elkhart Municipal Airport,"Elkhart, Indiana",United States
FLD,Fond du Lac County Airport,"Fond du Lac, Wisconsin",United States
GJT,Grand Junction Regional Airport (Walker Field),"Grand Junction, Colorado",United States
HCQ,Halls Creek Airport,"Halls Creek, Western Australia",Australia
HYR,Sawyer County Airport,"Hayward, Wisconsin",United States
IXR,Birsa Munda Airport (Ranchi Airport),Ranchi,India
KBN,Tunta Airport,Kabinda,Democratic Republic of the Congo
KNX,Kununurra Airport,"Kununurra, Western Australia",Australia
LBZ,Lukapa Airport,Lukapa,Angola
LPQ,Luang Prabang International Airport,Luang Prabang,Laos
MDV,Médouneu Airport,Médouneu,Gabon
MOV,Moranbah Airport,"Moranbah, Queensland",Australia
MZX,Mena Airport,Mena,Ethiopia
OLL,Oyo Ollombo Airport,"Oyo, Republic of the Congo",Republic of the Congo
PLU,Pampulha Domestic Airport,Belo Horizonte,Brazil
RAT,Raduzhny Airport,"Raduzhny, Khanty - Mansi Autonomous Okrug",Russia
SEA,Seattle–Tacoma International Airport,"SeaTac, Washington",United States
STX,Henry E. Rohlsen Airport,"Christiansted, Saint Croix",United States Virgin Islands
TNR,Ivato Airport,Antananarivo,Madagascar
VDC,Vitória da Conquista Airport,Vitória da Conquista,Brazil
XDK,Dunkerque - Les Moëres Airport,Dunkerque,France
YKL,Schefferville Airport,"Schefferville, Quebec",Canada
YYM,Cowley Airport,"Cowley, Alberta",Canada
ZMS,Firenze Santa Maria Novella Railway Station,Florence,Italy
ALT,Alenquer Airport,"Alenquer, Pará",Brazil
AYE,Moore Army Airfield (Fort Devens),"Leominster, Massachusetts",United States
BJH,Bajhang Airport,Bajhang,Nepal
BUL,Bulolo Airport,Bulolo,Papua New Guinea
CGD,Changde Airport,"Changde, Hunan",China
CSF,Creil Air Base,Creil,France
DJN,Delta Junction Airport,"Delta Junction, Alaska",United States
EKN,Elkins-Randolph Co.-Jennings Randolph Field,"Elkins, West Virginia",United States
FLE,Fort Lee Army Airfield,"Fort Lee, Virginia",United States
GKA,Goroka Airport,Goroka,Papua New Guinea
HCR,Holy Cross Airport,"Holy Cross, Alaska",United States
HYS,Hays Regional Airport,"Hays, Kansas",United States
IXS,Silchar Airport (Kumbhirgram Airport),Silchar,India
KBO,Kabalo Airport,Kabalo,Democratic Republic of the Congo
KNZ,Kéniéba Airport,Kéniéba,Mali
LCA,Larnaca International Airport,Larnaca,Cyprus
LPR,Lorain County Regional Airport,"Lorain / Elyria, Ohio",United States
MDW,Midway International Airport,"Chicago, Illinois",United States
MOW, ALL Airports,Moscow,Russia
